-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us       83.729s        99.78%       83.729s        4.186s           0 B           0 B           0 B           0 B            20  
## Call CompiledFxGraph fwpautitcvqxwzy2r73h2dlxdkgu...         0.00%       0.000us         0.00%       0.000us       0.000us       56.769s        67.65%       56.769s     177.403ms           0 B           0 B           0 B           0 B           320  
                                       aten::_scaled_mm         2.18%        2.812s         9.08%       11.709s      84.120us       35.113s        41.84%       35.114s     252.255us           0 B           0 B           0 B           0 B        139200  
## Call CompiledFxGraph fbfgjzpuyhrgqszhcja2rlr5wlmd...         0.00%       0.000us         0.00%       0.000us       0.000us       26.073s        31.07%       26.073s      81.477ms           0 B           0 B           0 B           0 B           320  
     nvjet_qrtst_128x160_128x5_2x1_v_bz_coopA_algo2_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       12.743s        15.19%       12.743s     272.762us           0 B           0 B           0 B           0 B         46720  
           nvjet_qqtst_192x192_128x4_1x2_h_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us       10.932s        13.03%       10.932s     237.233us           0 B           0 B           0 B           0 B         46080  
                                      flash_attn_3::bwd         0.24%     306.493ms         0.84%        1.083s     141.033us        7.146s         8.52%        7.146s     930.494us           0 B           0 B    3624.97 GB    -180.00 MB          7680  
     nvjet_qrtst_144x128_128x6_1x2_h_bz_coopA_algo2_TNN         0.00%       0.000us         0.00%       0.000us       0.000us        6.722s         8.01%        6.722s     175.063us           0 B           0 B           0 B           0 B         38400  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_mul...         0.06%      72.704ms         0.41%     529.732ms      68.975us        5.268s         6.28%        5.268s     685.895us           0 B           0 B           0 B           0 B          7680  
