-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us       88.228s        99.73%       88.228s        4.411s           0 B           0 B           0 B           0 B            20  
## Call CompiledFxGraph fbn745u3awu5hvuhrlyslqikzx3v...         0.00%       0.000us         0.00%       0.000us       0.000us       60.322s        68.19%       60.322s     188.507ms           0 B           0 B           0 B           0 B           320  
                                       aten::_scaled_mm         2.06%        2.814s         8.87%       12.106s      86.968us       35.011s        39.58%       35.012s     251.524us           0 B           0 B           0 B           0 B        139200  
## Call CompiledFxGraph f6xunihs5ow2eac5robhpf26ovv7...         0.00%       0.000us         0.00%       0.000us       0.000us       27.070s        30.60%       27.070s      84.594ms           0 B           0 B           0 B           0 B           320  
     nvjet_qrtst_128x160_128x5_2x1_v_bz_coopA_algo2_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       12.645s        14.29%       12.645s     270.654us           0 B           0 B           0 B           0 B         46720  
           nvjet_qqtst_192x192_128x4_1x2_h_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us       10.973s        12.40%       10.973s     238.119us           0 B           0 B           0 B           0 B         46080  
                                      flash_attn_3::bwd         0.24%     322.916ms         1.46%        1.985s     258.518us        7.091s         8.01%        7.091s     923.254us           0 B           0 B    3625.21 GB    -180.00 MB          7680  
     nvjet_qrtst_144x128_128x6_1x2_h_bz_coopA_algo2_TNN         0.00%       0.000us         0.00%       0.000us       0.000us        6.683s         7.55%        6.683s     174.045us           0 B           0 B           0 B           0 B         38400  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_mul...         0.06%      76.211ms         0.22%     296.024ms      38.545us        5.206s         5.88%        5.206s     677.904us           0 B           0 B           0 B           0 B          7680  
