---------------------------------------
Begin Slurm Prolog: Apr-26-2026 16:24:01
Job ID:    5064229
User ID:   pzolotarev3
Account:   coc
Job name:  nanochat-stage2b
Partition: ice-gpu
QOS:       coc-ice
---------------------------------------
=== Stage 2b: Pretraining (chunk 2 / auto-resume) ===
Base dir: /home/hice1/pzolotarev3/scratch/nanochat
Started: Sun Apr 26 16:24:02 EDT 2026
Resuming from step 2400

                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Autodetected device type: cuda
GPU: NVIDIA H200 | Peak FLOPS (BF16): 9.89e+14
COMPUTE_DTYPE: torch.bfloat16 (auto-detected: CUDA SM 90 (bf16 supported))
✓ Using Flash Attention 3 (Hopper GPU detected), efficient, new and awesome.
Vocab size: 32,768
Model config:
{
  "sequence_len": 2048,
  "vocab_size": 32768,
  "n_layer": 24,
  "n_head": 12,
  "n_kv_head": 12,
  "n_embd": 1536,
  "window_pattern": "SSSL",
  "use_xsa": false,
  "xsa_alpha": 1.0,
  "xsa_layer_indices": null
}
Resuming optimization from step 2400
Parameter counts:
wte                     : 50,331,648
value_embeds            : 603,979,776
lm_head                 : 50,331,648
transformer_matrices    : 679,478,976
scalars                 : 74
total                   : 1,384,122,122
Estimated FLOPs per token: 4.775225e+09
Auto-computed optimal batch size: 1,048,576 tokens
Scaling LRs by 1.4142 for batch size 1,048,576 (reference: 524,288)
Scaling weight decay from 0.280000 to 0.059738 for depth 24
Scaling the LR for the AdamW parameters ∝1/√(1536/768) = 0.707107
Calculated number of iterations from target data:param ratio: 5,568
Total number of training tokens: 5,838,471,168
Tokens : Scaling params ratio: 8.00
Total training FLOPs estimate: 2.788002e+19
Tokens / micro-batch / rank: 16 x 2048 = 32,768
Tokens / micro-batch: 65,536
Total batch size 1,048,576 => gradient accumulation steps: 16
step 02400/05568 (43.10%) | loss: 2.558742 | lrm: 0.88 | dt: 96388.49ms | tok/sec: 10,878 | bf16_mfu: 2.63 | epoch: 1 pq: 56 rg: 2 | total time: 204.21m | eta: 270.7m
step 02401/05568 (43.12%) | loss: 2.553719 | lrm: 0.88 | dt: 4786.23ms | tok/sec: 219,081 | bf16_mfu: 52.89 | epoch: 1 pq: 56 rg: 4 | total time: 204.29m | eta: 270.6m
step 02402/05568 (43.14%) | loss: 2.562482 | lrm: 0.88 | dt: 4951.20ms | tok/sec: 211,782 | bf16_mfu: 51.13 | epoch: 1 pq: 56 rg: 6 | total time: 204.37m | eta: 270.5m
step 02403/05568 (43.16%) | loss: 2.562331 | lrm: 0.88 | dt: 5057.26ms | tok/sec: 207,340 | bf16_mfu: 50.06 | epoch: 1 pq: 56 rg: 8 | total time: 204.45m | eta: 270.4m
step 02404/05568 (43.18%) | loss: 2.574461 | lrm: 0.88 | dt: 5135.87ms | tok/sec: 204,167 | bf16_mfu: 49.29 | epoch: 1 pq: 56 rg: 10 | total time: 204.54m | eta: 270.3m
step 02405/05568 (43.19%) | loss: 2.569989 | lrm: 0.88 | dt: 5156.62ms | tok/sec: 203,345 | bf16_mfu: 49.09 | epoch: 1 pq: 56 rg: 12 | total time: 204.62m | eta: 270.2m
step 02406/05568 (43.21%) | loss: 2.567439 | lrm: 0.88 | dt: 5198.00ms | tok/sec: 201,726 | bf16_mfu: 48.70 | epoch: 1 pq: 56 rg: 14 | total time: 204.71m | eta: 270.2m
step 02407/05568 (43.23%) | loss: 2.581402 | lrm: 0.88 | dt: 5236.97ms | tok/sec: 200,225 | bf16_mfu: 48.34 | epoch: 1 pq: 56 rg: 16 | total time: 204.80m | eta: 270.1m
step 02408/05568 (43.25%) | loss: 2.600656 | lrm: 0.88 | dt: 5292.54ms | tok/sec: 198,123 | bf16_mfu: 47.83 | epoch: 1 pq: 56 rg: 18 | total time: 204.89m | eta: 270.0m
step 02409/05568 (43.27%) | loss: 2.599537 | lrm: 0.88 | dt: 5263.37ms | tok/sec: 199,221 | bf16_mfu: 48.10 | epoch: 1 pq: 56 rg: 20 | total time: 204.97m | eta: 269.9m
step 02410/05568 (43.28%) | loss: 2.612447 | lrm: 0.88 | dt: 5281.32ms | tok/sec: 198,544 | bf16_mfu: 47.93 | epoch: 1 pq: 56 rg: 22 | total time: 205.06m | eta: 269.8m
step 02411/05568 (43.30%) | loss: 2.600540 | lrm: 0.88 | dt: 5299.87ms | tok/sec: 197,849 | bf16_mfu: 47.76 | epoch: 1 pq: 56 rg: 26 | total time: 205.15m | eta: 269.7m
step 02412/05568 (43.32%) | loss: 2.594965 | lrm: 0.88 | dt: 5276.20ms | tok/sec: 198,736 | bf16_mfu: 47.98 | epoch: 1 pq: 56 rg: 28 | total time: 205.24m | eta: 269.7m
step 02413/05568 (43.34%) | loss: 2.608342 | lrm: 0.88 | dt: 5232.73ms | tok/sec: 200,388 | bf16_mfu: 48.38 | epoch: 1 pq: 56 rg: 30 | total time: 205.33m | eta: 269.6m
step 02414/05568 (43.35%) | loss: 2.613574 | lrm: 0.88 | dt: 5294.96ms | tok/sec: 198,033 | bf16_mfu: 47.81 | epoch: 1 pq: 56 rg: 32 | total time: 205.41m | eta: 269.5m
step 02415/05568 (43.37%) | loss: 2.597962 | lrm: 0.88 | dt: 5233.18ms | tok/sec: 200,370 | bf16_mfu: 48.37 | epoch: 1 pq: 56 rg: 34 | total time: 205.50m | eta: 269.4m
step 02416/05568 (43.39%) | loss: 2.616534 | lrm: 0.88 | dt: 5290.54ms | tok/sec: 198,198 | bf16_mfu: 47.85 | epoch: 1 pq: 56 rg: 36 | total time: 205.59m | eta: 269.3m
step 02417/05568 (43.41%) | loss: 2.613099 | lrm: 0.88 | dt: 5253.83ms | tok/sec: 199,583 | bf16_mfu: 48.18 | epoch: 1 pq: 56 rg: 38 | total time: 205.68m | eta: 269.3m
step 02418/05568 (43.43%) | loss: 2.608193 | lrm: 0.88 | dt: 5288.25ms | tok/sec: 198,284 | bf16_mfu: 47.87 | epoch: 1 pq: 56 rg: 40 | total time: 205.77m | eta: 269.2m
step 02419/05568 (43.44%) | loss: 2.608470 | lrm: 0.88 | dt: 5223.95ms | tok/sec: 200,724 | bf16_mfu: 48.46 | epoch: 1 pq: 56 rg: 42 | total time: 205.85m | eta: 269.1m
step 02420/05568 (43.46%) | loss: 2.598846 | lrm: 0.88 | dt: 5216.32ms | tok/sec: 201,018 | bf16_mfu: 48.53 | epoch: 1 pq: 56 rg: 44 | total time: 205.94m | eta: 269.0m
step 02421/05568 (43.48%) | loss: 2.597549 | lrm: 0.88 | dt: 5263.99ms | tok/sec: 199,197 | bf16_mfu: 48.09 | epoch: 1 pq: 56 rg: 46 | total time: 206.03m | eta: 268.9m
step 02422/05568 (43.50%) | loss: 2.608546 | lrm: 0.88 | dt: 5235.03ms | tok/sec: 200,299 | bf16_mfu: 48.36 | epoch: 1 pq: 56 rg: 48 | total time: 206.11m | eta: 268.8m
step 02423/05568 (43.52%) | loss: 2.614714 | lrm: 0.88 | dt: 5241.08ms | tok/sec: 200,068 | bf16_mfu: 48.30 | epoch: 1 pq: 56 rg: 50 | total time: 206.20m | eta: 268.8m
