---------------------------------------
Begin Slurm Prolog: Apr-27-2026 11:34:48
Job ID:    5064230
User ID:   pzolotarev3
Account:   coc
Job name:  nanochat-stage2c
Partition: ice-gpu
QOS:       coc-ice
---------------------------------------
=== Stage 2c: Pretraining (chunk 3 / auto-resume) ===
Base dir: /home/hice1/pzolotarev3/scratch/nanochat
Started: Mon Apr 27 11:34:48 EDT 2026
Resuming from step 4800

                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Autodetected device type: cuda
GPU: NVIDIA H100 80GB HBM3 | Peak FLOPS (BF16): 9.89e+14
COMPUTE_DTYPE: torch.bfloat16 (auto-detected: CUDA SM 90 (bf16 supported))
✓ Using Flash Attention 3 (Hopper GPU detected), efficient, new and awesome.
Vocab size: 32,768
Model config:
{
  "sequence_len": 2048,
  "vocab_size": 32768,
  "n_layer": 24,
  "n_head": 12,
  "n_kv_head": 12,
  "n_embd": 1536,
  "window_pattern": "SSSL",
  "use_xsa": false,
  "xsa_alpha": 1.0,
  "xsa_layer_indices": null
}
Resuming optimization from step 4800
Parameter counts:
wte                     : 50,331,648
value_embeds            : 603,979,776
lm_head                 : 50,331,648
transformer_matrices    : 679,478,976
scalars                 : 74
total                   : 1,384,122,122
Estimated FLOPs per token: 4.775225e+09
Auto-computed optimal batch size: 1,048,576 tokens
Scaling LRs by 1.4142 for batch size 1,048,576 (reference: 524,288)
Scaling weight decay from 0.280000 to 0.059738 for depth 24
Scaling the LR for the AdamW parameters ∝1/√(1536/768) = 0.707107
Calculated number of iterations from target data:param ratio: 5,568
Total number of training tokens: 5,838,471,168
Tokens : Scaling params ratio: 8.00
Total training FLOPs estimate: 2.788002e+19
Tokens / micro-batch / rank: 16 x 2048 = 32,768
Tokens / micro-batch: 65,536
Total batch size 1,048,576 => gradient accumulation steps: 16
step 04800/05568 (86.21%) | loss: 2.389135 | lrm: 0.25 | dt: 101053.03ms | tok/sec: 10,376 | bf16_mfu: 2.51 | epoch: 1 pq: 111 rg: 78 | total time: 413.12m | eta: 66.2m
step 04801/05568 (86.22%) | loss: 2.395303 | lrm: 0.25 | dt: 4967.81ms | tok/sec: 211,074 | bf16_mfu: 50.96 | epoch: 1 pq: 111 rg: 80 | total time: 413.20m | eta: 66.2m
step 04802/05568 (86.24%) | loss: 2.391794 | lrm: 0.25 | dt: 5054.97ms | tok/sec: 207,434 | bf16_mfu: 50.08 | epoch: 1 pq: 111 rg: 82 | total time: 413.29m | eta: 66.1m
step 04803/05568 (86.26%) | loss: 2.393021 | lrm: 0.25 | dt: 5056.87ms | tok/sec: 207,356 | bf16_mfu: 50.06 | epoch: 1 pq: 112 rg: 0 | total time: 413.37m | eta: 66.0m
step 04804/05568 (86.28%) | loss: 2.386203 | lrm: 0.25 | dt: 5065.03ms | tok/sec: 207,022 | bf16_mfu: 49.98 | epoch: 1 pq: 112 rg: 2 | total time: 413.45m | eta: 65.9m
step 04805/05568 (86.30%) | loss: 2.393879 | lrm: 0.25 | dt: 5064.42ms | tok/sec: 207,047 | bf16_mfu: 49.98 | epoch: 1 pq: 112 rg: 4 | total time: 413.54m | eta: 65.8m
step 04806/05568 (86.31%) | loss: 2.402982 | lrm: 0.25 | dt: 5065.48ms | tok/sec: 207,004 | bf16_mfu: 49.97 | epoch: 1 pq: 112 rg: 6 | total time: 413.62m | eta: 65.7m
step 04807/05568 (86.33%) | loss: 2.407401 | lrm: 0.25 | dt: 5051.02ms | tok/sec: 207,596 | bf16_mfu: 50.12 | epoch: 1 pq: 112 rg: 8 | total time: 413.71m | eta: 65.6m
step 04808/05568 (86.35%) | loss: 2.411265 | lrm: 0.25 | dt: 5062.39ms | tok/sec: 207,130 | bf16_mfu: 50.00 | epoch: 1 pq: 112 rg: 10 | total time: 413.79m | eta: 65.5m
step 04809/05568 (86.37%) | loss: 2.405249 | lrm: 0.25 | dt: 5059.85ms | tok/sec: 207,234 | bf16_mfu: 50.03 | epoch: 1 pq: 112 rg: 14 | total time: 413.88m | eta: 65.5m
step 04810/05568 (86.39%) | loss: 2.409384 | lrm: 0.25 | dt: 5057.00ms | tok/sec: 207,351 | bf16_mfu: 50.06 | epoch: 1 pq: 112 rg: 16 | total time: 413.96m | eta: 65.4m
step 04811/05568 (86.40%) | loss: 2.406145 | lrm: 0.25 | dt: 5058.95ms | tok/sec: 207,271 | bf16_mfu: 50.04 | epoch: 1 pq: 112 rg: 18 | total time: 414.04m | eta: 65.3m
step 04812/05568 (86.42%) | loss: 2.405155 | lrm: 0.25 | dt: 5050.32ms | tok/sec: 207,625 | bf16_mfu: 50.12 | epoch: 1 pq: 112 rg: 20 | total time: 414.13m | eta: 65.2m
